"regcust","age","sex","type","regyear","regmon","ageGroup","status","lifeValue"
"ofcoehve",37,"M","Basic",2016,5,"Adult",1,0
"nogzuwdx",39,"F","Basic",2016,5,"Adult",1,0
"tqbmgplt",19,"F","Basic",2016,5,"Young",1,0
"knhxqqua",33,"M","Basic",2016,5,"Adult",1,0
"jiyrwjcp",19,"F","Basic",2016,5,"Young",1,0
"nqaggvph",26,"M","Basic",2016,5,"Young",1,0
"hvdxyddc",20,"F","Basic",2016,5,"Young",1,0
"qtqbulyh",36,"M","Basic",2016,5,"Adult",1,0
"xtdvozop",25,"M","Basic",2016,5,"Young",1,0
"xdspknnh",39,"M","Basic",2016,5,"Adult",1,0
"rumktgtq",31,"M","Basic",2016,5,"Adult",1,0
"kfqplewp",35,"F","Premium",2016,5,"Adult",1,0
"rlgashwp",18,"M","Basic",2016,5,"Young",1,0
"iuopdela",39,"M","Basic",2016,5,"Adult",1,0
"iyyswntc",25,"M","Basic",2016,5,"Young",1,0
"vpimgteb",13,"M","Basic",2016,5,"Youth",1,0
"ritmtktm",38,"M","Basic",2016,5,"Adult",1,0
"efnltwca",16,"F","Basic",2016,5,"Youth",1,0
"vviwxlvi",21,"F","Basic",2016,5,"Young",1,0
"qaoriyft",39,"M","Basic",2016,5,"Adult",1,0
"lotdifqs",25,"F","Basic",2016,5,"Young",1,0
"ywhysrgw",29,"M","Basic",2016,5,"Young",1,0
"pnhlzjzb",19,"M","Basic",2016,5,"Young",1,0
"snktsyis",21,"M","Basic",2016,5,"Young",1,0
"mcdapgwt",36,"F","Basic",2016,5,"Adult",1,0
"xwrivluc",19,"F","Basic",2016,5,"Young",1,0
"wrgmfxxp",25,"M","Premium",2016,5,"Young",1,0
"gltxefre",28,"M","Basic",2016,5,"Young",1,0
"nlbabprd",16,"F","Basic",2016,5,"Youth",1,0
"zruvjroe",17,"M","Basic",2016,5,"Youth",1,0
"ytnjfzwm",10,"M","Basic",2016,5,"Youth",1,0
"mwcoempi",38,"M","Basic",2016,5,"Adult",1,0
"gdpfaivc",21,"F","Basic",2016,5,"Young",1,0
"jwhersea",10,"M","Basic",2016,5,"Youth",1,0
"shoxsqbw",21,"M","Basic",2016,5,"Young",1,0
"eeixkgnz",22,"M","Basic",2016,5,"Young",1,0
"ljewdtui",31,"M","Basic",2016,5,"Adult",1,0
"omwibedp",10,"F","Basic",2016,5,"Youth",1,0
"hfyzjcsn",17,"M","Basic",2016,5,"Youth",1,0
"rltpzedn",25,"M","Basic",2016,5,"Young",1,0
"ytqwwdoj",32,"M","Premium",2016,5,"Adult",1,0
"vcdbwcfw",30,"M","Basic",2016,5,"Young",1,0
"muyvcbbb",34,"F","Basic",2016,5,"Adult",1,0
"jqenwqnd",17,"F","Basic",2016,5,"Youth",1,0
"anjvicki",26,"F","Basic",2016,5,"Young",1,0
"kmjkquec",22,"M","Basic",2016,5,"Young",1,0
"ycypscmw",23,"M","Premium",2016,5,"Young",1,0
"qzoiwled",12,"M","Basic",2016,5,"Youth",1,0
"sxwwyewn",32,"M","Basic",2016,5,"Adult",1,0
"yxllqfmu",23,"M","Basic",2016,5,"Young",1,0
"yblxdatj",19,"M","Premium",2016,5,"Young",1,0
"dtbbtrcq",13,"M","Basic",2016,5,"Youth",1,0
"xzskjtxp",17,"M","Basic",2016,5,"Youth",1,0
"hdsxrzii",16,"F","Basic",2016,5,"Youth",1,0
"grpvcjma",15,"M","Basic",2016,5,"Youth",1,0
"qbtsjqto",36,"M","Basic",2016,5,"Adult",1,0
"kxaqwpvj",26,"M","Premium",2016,5,"Young",1,0
"zzpugjpy",31,"M","Basic",2016,5,"Adult",1,0
"mwaswtzj",13,"M","Basic",2016,5,"Youth",1,0
"wezsptly",18,"M","Basic",2016,5,"Young",1,0
"vfplmacp",11,"M","Premium",2016,5,"Youth",1,0
"dtkbfhyj",31,"F","Basic",2016,5,"Adult",1,0
"tbeazkpw",13,"F","Basic",2016,5,"Youth",1,0
"gbglunaw",18,"M","Basic",2016,5,"Young",1,0
"tfyembpe",23,"M","Basic",2016,5,"Young",1,0
"mllworqg",25,"F","Basic",2016,5,"Young",1,0
"yfhzheby",31,"F","Basic",2016,5,"Adult",1,0
"znnludzn",16,"M","Premium",2016,5,"Youth",1,0
"czdahjfi",24,"F","Basic",2016,5,"Young",1,0
"jzbklckf",38,"M","Basic",2016,5,"Adult",1,0
"sidchaxf",31,"M","Premium",2016,5,"Adult",1,0
"ortgylhi",11,"M","Basic",2016,5,"Youth",1,0
"urvuiwkt",39,"M","Basic",2016,5,"Adult",1,0
"cfnazwpw",27,"M","Basic",2016,5,"Young",1,0
"efbxzeym",30,"F","Basic",2016,5,"Young",1,0
"nkoawoiq",20,"F","Basic",2016,5,"Young",1,0
"lyrvwyek",40,"F","Basic",2016,5,"Adult",1,0
"vopdougv",24,"M","Basic",2016,5,"Young",1,0
"qkaiflgt",32,"M","Basic",2016,5,"Adult",1,0
"xslgvpfd",20,"M","Basic",2016,5,"Young",1,0
"uhqcjoky",34,"M","Premium",2016,5,"Adult",1,0
"eybrdciv",24,"M","Premium",2016,5,"Young",1,0
"tdzgjaqx",22,"M","Basic",2016,5,"Young",1,0
"amxsvfmm",37,"F","Basic",2016,5,"Adult",1,0
"twaypeku",22,"M","Premium",2016,5,"Young",1,0
"nccxuorl",36,"M","Basic",2016,5,"Adult",1,0
"djacblwd",34,"M","Basic",2016,5,"Adult",1,0
"wcfubeey",39,"F","Basic",2016,5,"Adult",1,0
"swedjrpo",19,"F","Premium",2016,5,"Young",1,0
"fhvsexfc",19,"M","Basic",2016,5,"Young",1,0
"wpcdjagq",27,"M","Basic",2016,5,"Young",1,0
"pnkfqzxo",32,"M","Basic",2016,5,"Adult",1,0
"wzwmedan",24,"F","Basic",2016,5,"Young",1,0
"omqqhrqc",27,"M","Basic",2016,5,"Young",1,0
"zbefcwal",12,"M","Premium",2016,5,"Youth",1,0
"jdfxhbtd",16,"M","Premium",2016,5,"Youth",1,0
"xqdfrxpz",33,"F","Basic",2016,5,"Adult",1,0
"yxwkitzw",31,"M","Basic",2016,5,"Adult",1,0
"ehmqezoq",26,"M","Basic",2016,5,"Young",1,0
"lrrtuijw",15,"M","Basic",2016,5,"Youth",1,0
"doopvykv",26,"M","Basic",2016,5,"Young",1,0
"gpgatrjx",15,"F","Premium",2016,5,"Youth",1,0
"iwxkqehy",28,"M","Basic",2016,5,"Young",1,0
"uryjchrf",32,"F","Basic",2016,5,"Adult",1,0
"ciowhgvd",19,"F","Basic",2016,5,"Young",1,0
"dygjkfft",37,"M","Basic",2016,5,"Adult",1,0
"jkffljpu",18,"M","Basic",2016,5,"Young",1,0
"nrqxvhzp",39,"M","Basic",2016,5,"Adult",1,0
"vtthkuyh",10,"M","Basic",2016,5,"Youth",1,0
"mdbtqcws",37,"M","Premium",2016,5,"Adult",1,0
"yszzrwoa",26,"M","Basic",2016,5,"Young",1,0
"tjztinng",26,"F","Basic",2016,5,"Young",1,0
"hvomrgsg",28,"M","Basic",2016,5,"Young",1,0
"hhjegjhl",30,"M","Basic",2016,5,"Young",1,0
"axmjnkcc",17,"F","Basic",2016,5,"Youth",1,0
"zdirbydm",21,"M","Basic",2016,5,"Young",1,0
"ynnnmufz",30,"F","Premium",2016,5,"Young",1,0
"bwqqcsiq",32,"M","Basic",2016,5,"Adult",1,0
"eddawuxf",23,"F","Basic",2016,5,"Young",1,0
"ecdakwhw",25,"M","Basic",2016,5,"Young",1,0
"rzaqbqoe",39,"F","Basic",2016,5,"Adult",1,0
"dxhxomoj",33,"M","Premium",2016,5,"Adult",1,0
"xkgddjut",32,"M","Basic",2016,5,"Adult",1,0
"lgptxhwu",20,"M","Basic",2016,5,"Young",1,0
"bweeytzw",24,"F","Basic",2016,5,"Young",1,0
"pfteitgs",24,"F","Basic",2016,5,"Young",1,0
"grmtmhcs",29,"M","Basic",2016,5,"Young",1,0
"dblfcxsb",33,"M","Basic",2016,5,"Adult",1,0
"qoxrplnw",35,"M","Basic",2016,5,"Adult",1,0
"mdkdyhps",24,"M","Basic",2016,5,"Young",1,0
"vaquomiw",35,"M",NA,2016,5,"Adult",1,0
"pdrhmljl",29,"F","Basic",2016,5,"Young",1,0
"yvdylnec",40,"M","Basic",2016,5,"Adult",1,0
"cqhmptzc",36,"M","Premium",2016,5,"Adult",1,0
"vsxqdrir",39,"M","Basic",2016,5,"Adult",1,0
"vcbwphhx",36,"M","Basic",2016,5,"Adult",1,0
"niuxjkit",15,"M","Premium",2016,5,"Youth",1,0
"cqqfnzqv",23,"M","Basic",2016,5,"Young",1,0
"lkoitvvr",11,"M",NA,2016,5,"Youth",1,0
"ldjuuycr",30,"M","Basic",2016,5,"Young",1,0
"loqfcahv",28,"M","Basic",2016,5,"Young",1,0
"rnttmaoh",19,"F","Basic",2016,5,"Young",1,0
"bpufjuem",26,"F","Basic",2016,5,"Young",1,0
"cgybyeqt",19,"F","Basic",2016,5,"Young",1,0
"lxlllltj",27,"F","Basic",2016,5,"Young",1,0
"nittyeyv",34,"M","Basic",2016,5,"Adult",1,0
"ghpbdtcq",11,"F","Basic",2016,5,"Youth",1,0
"tqeamagu",18,"M","Basic",2016,5,"Young",1,0
"zttsvxoz",23,"M","Basic",2016,5,"Young",1,0
"vvrfidqq",15,"M","Basic",2016,5,"Youth",1,0
"ftmblhjx",17,"F","Basic",2016,5,"Youth",1,0
"ieahaoez",33,"M","Basic",2016,5,"Adult",1,0
"evornfzn",40,"M","Basic",2016,5,"Adult",1,0
"qiwxypuk",36,"M","Premium",2016,5,"Adult",1,0
"ifdabaji",39,NA,"Basic",2016,5,"Adult",1,0
"yreiuodb",17,"M","Premium",2016,5,"Youth",1,0
"hozsgohi",22,"M","Basic",2016,5,"Young",1,0
"djfrfpfx",28,"M","Premium",2016,5,"Young",1,0
"zcbxyvqg",21,"F","Basic",2016,5,"Young",1,0
"xgkypwpa",28,"F","Premium",2016,5,"Young",1,0
"ugsesvlk",16,"M","Premium",2016,5,"Youth",1,0
"oqmgioor",34,"F","Basic",2016,5,"Adult",1,0
"jufhgtvi",21,"M","Premium",2016,5,"Young",1,0
"abkzpiry",11,"F","Premium",2016,5,"Youth",1,0
"mwimngyv",11,"M","Basic",2016,5,"Youth",1,0
"qgohyiej",31,"F","Basic",2016,5,"Adult",1,0
"anyzgori",29,"M","Basic",2016,5,"Young",1,0
"gihplwlb",29,"F","Basic",2016,5,"Young",1,0
"iblkyzei",39,"M",NA,2016,5,"Adult",1,0
"fazpvrqq",13,"M","Basic",2016,5,"Youth",1,0
"sogwdzuv",21,"F","Basic",2016,5,"Young",1,0
"pkplaojb",35,"M","Basic",2016,5,"Adult",1,0
"mbazrxfi",32,"F","Basic",2016,5,"Adult",1,0
"ndrhpcph",15,"M","Basic",2016,5,"Youth",1,0
"nyhchaky",20,"M","Basic",2016,5,"Young",1,0
"qjnrakks",28,"M","Basic",2016,5,"Young",1,0
"lrrmkchl",18,"F","Basic",2016,5,"Young",1,0
"snqgsnem",12,"M","Premium",2016,5,"Youth",1,0
"xkegvcon",35,"F","Basic",2016,5,"Adult",1,0
"rpwrjypy",24,"M","Premium",2016,5,"Young",1,0
"txmtntmn",33,"F","Basic",2016,5,"Adult",1,0
"xmfymqdi",24,"M","Basic",2016,5,"Young",1,0
"kozotymc",30,"M","Basic",2016,5,"Young",1,0
"ppebjhpf",38,"F","Basic",2016,5,"Adult",1,0
"lzpzybnf",20,"M","Basic",2016,5,"Young",1,0
"lyqxfeky",25,"M","Basic",2016,5,"Young",1,0
"wfahkvqi",31,"M","Basic",2016,5,"Adult",1,0
"bkgvveji",13,"M","Premium",2016,5,"Youth",1,0
"zsuzltjb",11,"M","Basic",2016,5,"Youth",1,0
"vzvjujbx",39,"F","Basic",2016,5,"Adult",1,0
"sfxxfwvc",37,"F","Basic",2016,5,"Adult",1,0
"mvmuhhkf",40,"F","Basic",2016,5,"Adult",1,0
"vhnyjgcj",13,"F","Basic",2016,5,"Youth",1,0
"sshuukjw",40,"F","Basic",2016,5,"Adult",1,0
"tzlljvul",30,"F","Basic",2016,5,"Young",1,0
"uxydkuay",12,"F","Basic",2016,5,"Youth",1,0
"tizfsgal",12,"F","Basic",2016,5,"Youth",1,0
"jvbfqdni",19,"F","Premium",2016,5,"Young",1,0
"chpzdskb",13,"M","Basic",2016,5,"Youth",1,0
"iqlptvwo",38,"M","Basic",2016,5,"Adult",1,0
"xlpngowa",24,"F","Basic",2016,5,"Young",1,0
"rmhzytoa",39,"M","Basic",2016,5,"Adult",1,0
"ysunrewz",22,"F","Basic",2016,5,"Young",1,0
"ttuqorza",26,"M","Basic",2016,5,"Young",1,0
"nxbgypph",19,"M","Basic",2016,5,"Young",1,0
"byhoszgt",13,"F","Basic",2016,5,"Youth",1,0
"auvfyxow",40,"F","Basic",2016,5,"Adult",1,0
"vcqaefqg",23,"F","Basic",2016,5,"Young",1,0
"ebskscxj",24,"M","Basic",2016,5,"Young",1,0
"fxgebjvj",34,"M","Basic",2016,5,"Adult",1,0
"xduqejgj",15,"M","Basic",2016,5,"Youth",1,0
"dmlxuefl",29,"F","Basic",2016,5,"Young",1,0
"ossplugo",12,"M","Premium",2016,5,"Youth",1,0
"wuvtngvs",23,"M","Basic",2016,5,"Young",1,0
"tiibdqbb",30,"M","Premium",2016,5,"Young",1,0
"lztmfqds",39,"M","Premium",2016,5,"Adult",1,0
"dbjfyucr",19,"M","Basic",2016,5,"Young",1,0
"yfuqreqr",10,"M","Basic",2016,5,"Youth",1,0
"dxlxopqq",22,"M","Basic",2016,5,"Young",1,0
"tjnmwfuy",15,"F","Basic",2016,5,"Youth",1,0
"brreoqgr",18,"M","Basic",2016,5,"Young",1,0
"zsnwzith",37,"M","Basic",2016,5,"Adult",1,0
"cslftzgc",20,"M","Basic",2016,5,"Young",1,0
"usnxzyaz",23,"M","Basic",2016,5,"Young",1,0
"mmtajjzi",16,"M","Basic",2016,5,"Youth",1,0
"sejmoqtx",38,"M","Basic",2016,5,"Adult",1,0
"ygqmahvt",31,"F","Basic",2016,5,"Adult",1,0
"ylhdjokt",33,"F","Basic",2016,5,"Adult",1,0
"sknolsok",36,"M","Basic",2016,5,"Adult",1,0
"vzhuoztz",28,"M","Premium",2016,5,"Young",1,0
"fjifyarw",20,"F","Basic",2016,5,"Young",1,0
"hrvadrgl",11,"F","Premium",2016,5,"Youth",1,0
"eikjsakj",31,"F","Basic",2016,5,"Adult",1,0
"zrottsxg",31,"M","Basic",2016,5,"Adult",1,0
"ocafsogv",14,"M","Basic",2016,5,"Youth",1,0
"quhfsbxq",23,"F","Premium",2016,5,"Young",1,0
"lperluav",37,"F","Basic",2016,5,"Adult",1,0
"avpgpyvx",11,"M","Basic",2016,5,"Youth",1,0
"ghwxlciv",33,"M","Basic",2016,5,"Adult",1,0
"goftbqdd",19,"M","Basic",2016,5,"Young",1,0
"effabmip",32,"M","Premium",2016,5,"Adult",1,0
"kjizwedk",10,"F","Basic",2016,5,"Youth",1,0
"qgaqlrfd",34,"F","Basic",2016,5,"Adult",1,0
"pscobpgl",29,"M","Premium",2016,5,"Young",1,0
"jfetwxhu",20,"M","Basic",2016,5,"Young",1,0
"iqiacebo",17,"F","Basic",2016,5,"Youth",1,0
"gifmlgyq",18,"M","Basic",2016,5,"Young",1,0
"nmsgvrbp",24,"M","Basic",2016,5,"Young",1,0
"lwksrtah",38,"M","Basic",2016,5,"Adult",1,0
"hxaubtib",33,"M","Basic",2016,5,"Adult",1,0
"aaurmtqg",11,"M","Basic",2016,5,"Youth",1,0
"wkvcrtco",12,"M","Premium",2016,5,"Youth",1,0
"tnkeogif",38,"M","Basic",2016,5,"Adult",1,0
"wklpkomh",39,"M","Basic",2016,5,"Adult",1,0
"crpjomny",15,"M","Basic",2016,5,"Youth",1,0
"kmrsvrtg",12,"M","Basic",2016,5,"Youth",1,0
"cvihkejb",22,"M","Basic",2016,5,"Young",1,0
"dqruoxcz",11,"M","Basic",2016,5,"Youth",1,0
"kvbnzfjb",33,"M","Basic",2016,5,"Adult",1,0
"taezritc",39,"M","Basic",2016,5,"Adult",1,0
"smxnlrww",39,"M","Basic",2016,5,"Adult",1,0
"psabhqnn",15,"M","Premium",2016,5,"Youth",1,0
"gtkkmtwj",35,"F","Basic",2016,5,"Adult",1,0
"tmlwckst",25,"M","Basic",2016,5,"Young",1,0
"dlmjvfyx",19,"M","Basic",2016,5,"Young",1,0
"bpyyrkis",39,"F","Basic",2016,5,"Adult",1,0
"imakspvq",37,"M","Basic",2016,5,"Adult",1,0
"yaornhuw",24,"M","Basic",2016,5,"Young",1,0
"xbqwvijd",33,"M","Basic",2016,5,"Adult",1,0
"egjyrkuf",20,"M","Basic",2016,5,"Young",1,0
"hkjquxup",11,"M","Basic",2016,5,"Youth",1,0
"mryvadyf",39,"M","Basic",2016,5,"Adult",1,0
"ehbjpntr",21,"M","Basic",2016,5,"Young",1,0
"htwfigaz",40,"M","Basic",2016,5,"Adult",1,0
"usoxlbky",38,"F","Basic",2016,5,"Adult",1,0
"rleqkkps",29,"F",NA,2016,5,"Young",1,0
"fmlltxzw",40,"F","Basic",2016,5,"Adult",1,0
"uwouslcv",17,"M","Basic",2016,5,"Youth",1,0
"nykfudzy",39,"F","Premium",2016,5,"Adult",1,0
"chyifibd",10,"M","Basic",2016,5,"Youth",1,0
"tmyywuyh",32,"F","Basic",2016,5,"Adult",1,0
"jiwyljad",23,"M","Premium",2016,5,"Young",1,0
"ghwiftbm",39,"F","Basic",2016,5,"Adult",1,0
"fnkydctp",21,"M","Basic",2016,5,"Young",1,0
"udzmglxl",26,"M","Premium",2016,5,"Young",1,0
"fsiflpdw",26,"M","Basic",2016,5,"Young",1,0
"lcbayjsq",24,"M","Basic",2016,5,"Young",1,0
"laoryiss",26,"M","Premium",2016,5,"Young",1,0
"jsrvmhgy",34,"M","Basic",2016,5,"Adult",1,0
"esnauhdr",25,"M","Premium",2016,5,"Young",1,0
"yvkqbvxl",31,"F","Basic",2016,5,"Adult",1,0
"uyyjdadq",27,"F","Premium",2016,5,"Young",1,0
"wmwdpcqd",13,"M","Basic",2016,5,"Youth",1,0
"ytrcwtzq",29,"M","Basic",2016,5,"Young",1,0
"swxcutnv",29,"M","Basic",2016,5,"Young",1,0
"idfheddp",40,"F","Basic",2016,5,"Adult",1,0
"rsfqnldl",39,"M","Basic",2016,5,"Adult",1,0
"ejpjrqix",21,"M","Basic",2016,5,"Young",1,0
"bxyqejkx",35,"M","Basic",2016,5,"Adult",1,0
"vcnbsjgo",14,"F","Premium",2016,5,"Youth",1,0
"tnzwxpst",19,"M","Basic",2016,5,"Young",1,0
"qqhlawfu",12,"M","Premium",2016,5,"Youth",1,0
"rnyyvirh",29,"M","Basic",2016,5,"Young",1,0
"qyjwrdju",12,"M","Basic",2016,5,"Youth",1,0
"rjgmxvok",11,"F","Basic",2016,5,"Youth",1,0
"ptvdldtx",11,"F","Basic",2016,5,"Youth",1,0
"zoasscii",32,"M","Basic",2016,5,"Adult",1,0
"fwedysjk",28,"M","Basic",2016,5,"Young",1,0
"nlgqdjst",29,"M","Basic",2016,5,"Young",1,0
"glewkymf",27,"M","Premium",2016,5,"Young",1,0
"bokhhled",35,"M","Basic",2016,5,"Adult",1,0
"yszfbzak",40,"M","Basic",2016,5,"Adult",1,0
"wdimuhbi",38,"F","Basic",2016,5,"Adult",1,0
"ygnzaxrm",14,"F","Basic",2016,5,"Youth",1,0
"vgbhxuer",33,"M","Basic",2016,5,"Adult",1,0
"vrkrckhf",20,"M","Basic",2016,5,"Young",1,0
"csargsgy",21,"M","Basic",2016,5,"Young",1,0
"yuzajuyw",40,"M","Basic",2016,5,"Adult",1,0
"oxfrdede",10,"M","Premium",2016,5,"Youth",1,0
"dsdowhxr",17,"M","Basic",2016,5,"Youth",1,0
"vsaucmon",15,"M","Basic",2016,5,"Youth",1,0
"audmtqqc",23,"F","Basic",2016,5,"Young",1,0
"zpllmsgz",12,"M","Basic",2016,5,"Youth",1,0
"gvjsvwhd",31,"M","Basic",2016,5,"Adult",1,0
"egfrbruq",19,"M",NA,2016,5,"Young",1,0
"rnqsnvgi",34,"F","Premium",2016,5,"Adult",1,0
"ngqqazld",30,"M","Premium",2016,5,"Young",1,0
"mepubtqp",19,"M","Premium",2016,5,"Young",1,0
"pwoojafb",31,"M","Basic",2016,5,"Adult",1,0
"jlzpdfxo",32,"M","Basic",2016,5,"Adult",1,0
"lrihddxc",31,"M","Premium",2016,5,"Adult",1,0
"hqxtdmon",13,"F","Premium",2016,5,"Youth",1,0
"zylwwtwb",13,"M","Basic",2016,5,"Youth",1,0
"cknvbsof",32,"F","Premium",2016,5,"Adult",1,0
"exxlttij",27,"F","Basic",2016,5,"Young",1,0
"qqhubzyz",36,"F","Basic",2016,5,"Adult",1,0
"jbqqneib",25,"M","Basic",2016,5,"Young",1,0
"uhygjelf",40,"M","Basic",2016,5,"Adult",1,0
"dkkusxoy",35,"F","Basic",2016,5,"Adult",1,0
"nuzrhhte",29,"M","Basic",2016,5,"Young",1,0
"zkpknpqy",39,"F","Basic",2016,5,"Adult",1,0
"cepcauiw",10,"M","Basic",2016,5,"Youth",1,0
"rmculrvy",30,"M","Basic",2016,5,"Young",1,0
"vpjilngt",12,"M","Premium",2016,5,"Youth",1,0
"aavjobed",28,"M","Premium",2016,5,"Young",1,0
"oghxabzx",12,"M","Basic",2016,5,"Youth",1,0
"gtwzayzv",15,"M","Basic",2016,5,"Youth",1,0
"siqpvbus",40,"M","Basic",2016,5,"Adult",1,0
"akcbjnvs",12,"M","Basic",2016,5,"Youth",1,0
"jpurdtwr",11,"M","Basic",2016,5,"Youth",1,0
"uotmvzrh",25,"M","Basic",2016,5,"Young",1,0
"iqtigtpe",17,"M","Basic",2016,5,"Youth",1,0
"dccamtos",20,"M","Premium",2016,5,"Young",1,0
"fqcslxav",11,"F","Basic",2016,5,"Youth",1,0
"hutrbnlu",38,"M","Basic",2016,5,"Adult",1,0
"sonjfjcw",24,"F","Basic",2016,5,"Young",1,0
"abbjddpj",21,"F","Premium",2016,5,"Young",1,0
"xjzagyke",33,"M","Basic",2016,5,"Adult",1,0
"xuyvzsos",34,"M","Basic",2016,5,"Adult",1,0
"itnnadmk",14,"M","Basic",2016,5,"Youth",1,0
"vnavdbcz",26,"M","Basic",2016,5,"Young",1,0
"emfydwox",28,"M","Basic",2016,5,"Young",1,0
"frbiidjo",31,"F","Premium",2016,5,"Adult",1,0
"xmezafsu",19,"F","Premium",2016,5,"Young",1,0
"algbhgqp",29,"F","Basic",2016,5,"Young",1,0
"rsltnrna",22,"F","Basic",2016,5,"Young",1,0
"hcvcrzps",36,"F","Basic",2016,5,"Adult",1,0
"iyhrhata",14,"M","Basic",2016,5,"Youth",1,0
"dfdmwcsp",13,"M","Basic",2016,5,"Youth",1,0
"dyiruiek",36,"M","Basic",2016,5,"Adult",1,0
"zgisbadl",22,"F","Premium",2016,5,"Young",1,0
"fctiyfix",18,"M","Basic",2016,5,"Young",1,0
"epqojjxc",25,"M","Premium",2016,5,"Young",1,0
"gykgalbl",38,"M","Basic",2016,5,"Adult",1,0
"qjrwuxar",32,"M","Basic",2016,5,"Adult",1,0
"ocurggpp",39,"M","Basic",2016,5,"Adult",1,0
"oygaddjg",39,"M","Premium",2016,5,"Adult",1,0
"xjbmrujg",20,"M","Basic",2016,5,"Young",1,0
"mhctgcbp",33,"M","Basic",2016,5,"Adult",1,0
"xtyaoing",10,"M","Basic",2016,5,"Youth",1,0
"boljbkxr",26,"M","Basic",2016,5,"Young",1,0
"ifjrpsfo",12,"M","Premium",2016,5,"Youth",1,0
"fgbcsopw",35,"F","Basic",2016,5,"Adult",1,0
"iezrutxb",28,"M","Basic",2016,5,"Young",1,0
"oydwdeqr",18,"M","Basic",2016,5,"Young",1,0
"noikarum",12,"M","Basic",2016,5,"Youth",1,0
"xfcwlxmu",37,"M","Basic",2016,5,"Adult",1,0
"lirfximn",33,"M","Basic",2016,5,"Adult",1,0
"vthlkums",26,"M","Basic",2016,5,"Young",1,0
"nlvllury",25,"M","Basic",2016,5,"Young",1,0
"hdmjqiew",29,"M","Basic",2016,5,"Young",1,0
"tcjmtplf",23,"M","Basic",2016,5,"Young",1,0
"jdvnvmej",10,"M","Premium",2016,5,"Youth",1,0
"egtiwzec",24,"F","Basic",2016,5,"Young",1,0
"gnuvucui",14,"M","Basic",2016,5,"Youth",1,0
"sypmarmn",37,"M","Premium",2016,5,"Adult",1,0
"ngrkcswz",21,"M","Premium",2016,5,"Young",1,0
"spbqrbeg",20,"M","Premium",2016,5,"Young",1,0
"pgsjpdnq",13,"M","Basic",2016,5,"Youth",1,0
"svzdqhhq",20,"F","Premium",2016,5,"Young",1,0
"brcieate",15,"F","Premium",2016,5,"Youth",1,0
"ulekhzkl",37,"M","Basic",2016,5,"Adult",1,0
"amunznoh",23,"M","Basic",2016,5,"Young",1,0
"jexybbgj",15,"F","Basic",2016,5,"Youth",1,0
"dplzjwxq",35,"F","Premium",2016,5,"Adult",1,0
"rklroclt",34,"M","Basic",2016,5,"Adult",1,0
"cdgeeemy",15,"M","Premium",2016,5,"Youth",1,0
"nwgsazyt",37,"M","Basic",2016,5,"Adult",1,0
"rbesmspm",32,"F","Basic",2016,5,"Adult",1,0
"vhpttrqp",36,"M","Basic",2016,5,"Adult",1,0
"xncmltur",39,"M","Basic",2016,5,"Adult",1,0
"vcqusauu",17,"M","Basic",2016,5,"Youth",1,0
"cmadajqu",32,"M","Basic",2016,5,"Adult",1,0
"qhlqtuxn",39,"M","Basic",2016,5,"Adult",1,0
"grfgjcbg",19,"F","Basic",2016,5,"Young",1,0
"kxnvorfw",13,"M","Basic",2016,5,"Youth",1,0
"jisjqgkc",13,"M","Basic",2016,5,"Youth",1,0
"sutxymwk",34,"M","Basic",2016,5,"Adult",1,0
"jmtitdjx",13,"M","Basic",2016,5,"Youth",1,0
"hlcbcpsc",32,"M","Basic",2016,5,"Adult",1,0
"bbblvwcy",21,"M","Basic",2016,5,"Young",1,0
"jvbuofge",23,"M","Basic",2016,5,"Young",1,0
"lfkwrlun",24,"M","Premium",2016,5,"Young",1,0
"nbtmypbi",22,"F","Basic",2016,5,"Young",1,0
"ruhwexkw",32,"M","Basic",2016,5,"Adult",1,0
"hzhvdhya",31,"M","Basic",2016,5,"Adult",1,0
"bzxuduou",13,"M","Basic",2016,5,"Youth",1,0
"dfbpvhrz",27,"M","Basic",2016,5,"Young",1,0
"kjhohjht",26,"M","Basic",2016,5,"Young",1,0
"pzfbgnuj",36,"M","Basic",2016,5,"Adult",1,0
"cmbtxadk",24,"M","Basic",2016,5,"Young",1,0
"ljhxgubj",11,"M","Basic",2016,5,"Youth",1,0
"xrnrrizm",15,"M","Basic",2016,5,"Youth",1,0
"jxioazag",16,"M","Premium",2016,5,"Youth",1,0
"btmnetvt",40,"F","Premium",2016,5,"Adult",1,0
"ykyhbusc",25,"F","Basic",2016,5,"Young",1,0
"nfcdpwpb",40,"M","Premium",2016,5,"Adult",1,0
"uolhvuye",30,"F","Basic",2016,5,"Young",1,0
"dgpbrvhn",23,"M","Premium",2016,5,"Young",1,0
"tnqvbokl",16,"F","Basic",2016,5,"Youth",1,0
"xwbfhsua",14,"M","Premium",2016,5,"Youth",1,0
"tcogegrc",15,"F","Basic",2016,5,"Youth",1,0
"outysdna",25,"F","Basic",2016,5,"Young",1,0
"dqrfbvkv",26,"M","Basic",2016,5,"Young",1,0
"qlwnpicb",33,"M","Basic",2016,5,"Adult",1,0
"qtvwbrhi",23,"M","Basic",2016,5,"Young",1,0
"ewcfauyw",29,"M","Basic",2016,5,"Young",1,0
"lmwktxqj",22,"M","Basic",2016,5,"Young",1,0
"ymtlfwue",30,"M","Basic",2016,5,"Young",1,0
