"sex","age","Recency","Frequency","Monetary","Churn"
"M",27,10,44,557457,"No"
"M",35,1,18,1465786,"No"
"M",39,9,28,193016,"No"
"M",27,10,40,467901,"No"
"M",37,16,46,1790815,"No"
"M",27,8,32,520895,"No"
"F",24,23,45,1989364,"No"
"F",24,8,23,141848,"No"
"M",13,12,8,1027724,"No"
"M",32,5,7,632670,"No"
"M",29,20,31,443636,"No"
"M",19,15,49,1320340,"No"
"M",35,21,30,1752117,"No"
"M",17,3,21,1604902,"No"
"M",35,7,33,967085,"No"
"F",30,9,35,973237,"No"
"F",30,14,13,403679,"No"
"M",40,4,46,503163,"No"
"F",40,15,41,764787,"No"
"M",26,22,37,1743798,"No"
"F",31,19,20,1605691,"No"
"M",33,5,5,692811,"No"
"M",38,3,31,1733393,"No"
"M",32,5,16,1702678,"No"
"F",34,22,47,606042,"No"
"M",16,2,7,370782,"No"
"M",17,8,13,381267,"No"
"F",36,2,39,1346528,"No"
"F",30,18,9,1011372,"No"
"F",16,8,5,221104,"No"
"M",22,9,25,1920573,"No"
"M",13,16,25,1177481,"No"
"M",24,7,50,183106,"No"
"F",10,12,29,1082269,"No"
"F",11,24,42,118144,"No"
"F",10,20,32,350946,"No"
"M",18,4,19,1372480,"No"
"F",39,20,14,1845974,"No"
"M",34,10,39,109696,"No"
"M",29,12,50,684285,"No"
"F",29,16,28,244898,"No"
"F",21,8,17,393004,"No"
"M",21,4,44,323279,"No"
"M",10,16,46,1886038,"No"
"M",14,4,15,764819,"No"
"M",33,6,43,1404956,"No"
"M",34,10,34,639248,"No"
"F",18,22,6,498075,"No"
"M",29,5,49,86598,"No"
"M",13,24,32,949465,"No"
"M",31,16,10,1524024,"No"
"M",13,5,32,635705,"No"
"M",19,15,32,416777,"No"
"M",34,1,43,1622918,"No"
"M",12,9,18,1837287,"No"
"M",23,21,28,1318683,"No"
"M",14,23,44,610216,"No"
"M",31,18,37,1916879,"No"
"M",36,18,27,520702,"No"
"M",35,1,32,230785,"No"
"M",19,3,48,100206,"No"
"M",13,8,22,906106,"No"
"M",35,13,37,771023,"No"
"M",38,15,28,1375569,"No"
"M",34,16,44,1234526,"No"
"M",39,21,33,1602808,"No"
"M",16,22,33,1897425,"No"
"M",26,3,32,1616205,"No"
"F",39,1,25,465239,"No"
"F",27,23,47,355416,"No"
"M",16,12,13,1164950,"No"
"M",26,3,15,1590806,"No"
"F",21,6,18,1166166,"No"
"M",12,10,9,132864,"No"
"M",11,12,50,1174474,"No"
"M",27,6,50,1824947,"No"
"M",32,19,33,1474768,"No"
"F",11,22,28,1513250,"No"
"M",31,5,23,1886564,"No"
"F",22,21,31,1561760,"No"
"M",19,3,8,257631,"No"
"F",19,8,32,1667569,"No"
"M",31,11,20,1264991,"No"
"F",37,7,29,1586301,"No"
"M",10,8,20,124918,"No"
"F",10,23,8,848759,"No"
"M",35,14,32,1577873,"No"
"M",39,14,31,999526,"No"
"M",24,13,24,1308496,"No"
"M",19,13,35,1639017,"No"
"M",27,7,13,1973939,"No"
"F",31,10,49,1062274,"No"
"M",40,6,33,1371445,"No"
"F",37,24,16,1248757,"No"
"F",39,7,9,168704,"No"
"M",30,3,16,1667787,"No"
"M",10,17,48,482567,"No"
"F",36,8,22,1342089,"No"
"F",33,22,11,386931,"No"
"M",22,10,42,1670363,"No"
"M",33,17,40,1959596,"No"
"M",12,19,32,692828,"No"
"F",33,15,25,163578,"No"
"M",24,4,18,1624723,"No"
"F",18,23,45,356165,"No"
"M",12,3,23,984076,"No"
"M",14,14,49,1628898,"No"
"M",12,2,43,1782398,"No"
"M",29,5,18,715279,"No"
"M",19,21,23,567821,"No"
"M",19,4,35,1023060,"No"
"M",24,18,49,844325,"No"
"F",19,18,18,1348705,"No"
"M",10,6,38,994331,"No"
"F",15,20,22,151976,"No"
"M",35,10,19,472895,"No"
"F",11,20,40,589621,"No"
"F",20,8,35,1994434,"No"
"M",34,13,50,1984484,"No"
"M",27,5,39,1394478,"No"
"M",25,10,16,1277248,"No"
"F",10,20,38,1893107,"No"
"M",38,22,17,1028514,"No"
"F",14,7,29,1349598,"No"
"M",38,14,15,994288,"No"
"M",31,14,49,1927741,"No"
"M",33,6,18,1471099,"No"
"M",18,1,40,1049295,"No"
"M",39,11,36,1433126,"No"
"M",35,7,50,584767,"No"
"M",37,20,8,987045,"No"
"M",32,4,26,340924,"No"
"F",26,24,9,1923371,"No"
"M",39,1,28,106019,"No"
"M",40,22,49,1459503,"No"
"M",14,12,8,666099,"No"
"F",33,9,19,715152,"No"
"M",13,17,33,894453,"No"
"F",34,16,33,1802728,"No"
"M",24,8,8,903598,"No"
"M",27,12,36,885919,"No"
"M",35,2,27,1973385,"No"
"M",20,10,27,701909,"No"
"M",28,6,34,1138645,"No"
"F",27,9,32,1627378,"No"
"M",15,9,46,1015349,"No"
"M",16,20,12,1155729,"No"
"M",33,17,24,71181,"No"
"F",36,5,17,872780,"No"
"F",13,2,6,1889219,"No"
"M",27,4,21,382852,"No"
"M",26,11,20,1960868,"No"
"M",17,8,28,1918086,"No"
"F",10,3,47,987247,"No"
"M",30,6,50,1235357,"No"
"M",19,23,38,493569,"No"
"M",22,4,13,1204016,"No"
"M",40,11,19,952588,"No"
"M",39,6,19,254466,"No"
"M",35,14,41,1150727,"No"
"M",36,13,28,1324515,"No"
"M",21,8,37,1226711,"No"
"M",33,24,43,1796962,"No"
"F",32,20,16,680809,"No"
"M",16,6,48,1841449,"No"
"F",12,13,6,933991,"No"
"M",26,21,44,1056053,"No"
"M",16,18,29,1432498,"No"
"M",10,22,29,1797770,"No"
"F",10,2,36,857702,"No"
"M",26,23,18,1589405,"No"
"M",27,20,12,1407601,"No"
"F",39,23,30,1164162,"No"
"M",10,23,34,587747,"No"
"M",34,10,35,407941,"No"
"M",18,14,11,190794,"No"
"M",34,10,17,1302102,"No"
"F",32,24,44,1733840,"No"
"F",28,24,10,581945,"No"
"M",31,1,49,1096705,"No"
"F",35,19,45,1814225,"No"
"F",28,22,20,677190,"No"
"M",31,12,49,1905740,"No"
"M",34,19,26,1274564,"No"
"M",27,1,50,970326,"No"
"M",17,9,16,1264327,"No"
"M",28,24,47,102394,"No"
"M",22,2,21,450655,"No"
"M",28,16,48,1600181,"No"
"M",24,6,23,154433,"No"
"M",36,19,17,1228173,"No"
"M",13,8,26,162610,"No"
"M",28,14,21,700905,"No"
"M",27,15,33,827647,"No"
"M",35,21,24,1268783,"No"
"F",21,12,34,1386302,"No"
"F",18,19,35,401705,"No"
"F",18,4,23,1566390,"No"
"M",16,5,50,912232,"No"
"M",40,1,6,1711070,"No"
"M",29,3,39,1138267,"No"
"F",30,9,29,434329,"No"
"M",30,20,29,719633,"No"
"F",15,21,6,882800,"No"
"M",34,14,50,268395,"No"
"M",13,7,26,244762,"No"
"M",31,10,47,704326,"No"
"M",17,2,15,742555,"No"
"M",27,24,50,1595252,"No"
"M",39,19,8,827626,"No"
"M",32,16,15,608822,"No"
"M",34,6,19,1944399,"No"
"M",10,2,29,445143,"No"
"M",13,21,39,111619,"No"
"F",19,15,5,273213,"No"
"M",39,13,17,1686397,"No"
"M",33,7,16,674460,"No"
"M",36,4,40,577947,"No"
"F",38,5,31,95718,"No"
"F",12,5,9,1794857,"No"
"M",25,17,32,580330,"No"
"M",32,10,11,565151,"No"
"F",26,20,7,163496,"No"
"M",32,10,8,1769932,"No"
"M",23,9,47,921897,"No"
"F",14,21,31,349494,"No"
"F",18,24,18,1934758,"No"
"M",40,24,22,1694197,"No"
"M",34,21,45,566227,"No"
"M",40,12,27,475418,"No"
"F",20,10,15,1232870,"No"
"M",39,17,18,160018,"No"
"M",13,3,11,131202,"No"
"M",39,1,18,1684915,"No"
"F",36,2,50,482613,"No"
"M",36,16,17,195650,"No"
"F",36,3,39,1865006,"No"
"F",18,3,33,286768,"No"
"F",23,6,38,1981420,"No"
"F",30,22,12,891454,"No"
"M",24,24,31,819444,"No"
"M",33,3,17,1307601,"No"
"M",20,4,50,751743,"No"
"F",21,9,34,807322,"No"
"M",10,4,30,964926,"No"
"F",26,4,12,227924,"No"
"M",14,7,40,1754034,"No"
"M",35,12,36,206225,"No"
"M",16,10,46,1876779,"No"
"M",40,11,31,1594052,"No"
"F",37,4,28,1601252,"No"
"M",11,10,35,1115955,"No"
"M",16,5,6,1184250,"No"
"M",13,10,31,1176364,"No"
"M",11,5,43,356883,"No"
"F",22,6,15,209124,"No"
"M",36,6,18,1889043,"No"
"F",31,17,49,1199724,"No"
"M",33,21,28,527512,"No"
"M",39,20,44,594743,"No"
"M",20,22,50,1060147,"No"
"M",10,6,20,1957105,"No"
"F",12,5,38,1021449,"No"
"F",29,11,9,1416847,"No"
"F",36,6,35,1301050,"No"
"M",28,3,33,1970826,"No"
"M",22,4,23,1379873,"No"
"M",15,14,20,784713,"No"
"M",27,21,6,1959443,"No"
"M",29,22,18,339665,"No"
"M",40,9,11,964004,"No"
"M",15,23,29,1519489,"No"
"M",16,11,20,1147756,"No"
"M",28,11,34,849701,"No"
"M",24,23,13,776139,"No"
"M",39,6,19,194205,"No"
"M",26,12,13,936968,"No"
"M",30,5,38,1746772,"No"
"M",34,18,18,1431767,"No"
"F",20,15,50,1310921,"No"
"M",14,19,46,301358,"No"
"M",38,11,27,438273,"No"
"M",24,22,40,688280,"No"
"M",18,1,8,898288,"No"
"M",16,12,32,329469,"No"
"M",37,3,28,404989,"No"
"M",19,4,30,393333,"No"
"F",28,6,10,269053,"No"
"F",21,3,49,981920,"No"
"F",30,21,43,1345847,"No"
"M",30,11,27,1760965,"No"
"M",17,23,5,774486,"No"
"M",20,3,38,1234297,"No"
"F",20,8,32,77508,"No"
"M",10,13,27,613733,"No"
"M",16,9,40,1557621,"No"
"M",31,24,42,1501599,"No"
"M",19,10,22,447955,"No"
"M",14,3,21,54842,"No"
"M",18,17,26,491701,"No"
"F",12,5,28,168935,"No"
"M",23,10,34,1351979,"No"
"M",24,15,17,1261631,"No"
"M",30,16,23,955099,"No"
"M",11,13,43,1534986,"No"
"M",22,17,38,955483,"No"
"M",15,15,19,1496076,"No"
"M",40,12,14,1811377,"No"
"F",16,14,30,528463,"No"
"M",38,14,45,1042235,"No"
"M",24,5,32,281395,"No"
"M",17,14,48,844759,"No"
"M",28,18,37,1613977,"No"
"F",24,2,7,75347,"No"
"F",12,23,7,1530314,"No"
"M",13,14,9,163594,"No"
"M",38,24,29,1359514,"No"
"F",39,15,34,1469684,"No"
"F",21,3,42,1743474,"No"
"M",12,17,13,334282,"No"
"F",35,3,8,592530,"No"
"F",32,18,25,349600,"No"
"M",31,22,21,539855,"No"
"M",40,10,10,1578398,"No"
"M",12,11,30,897556,"No"
"M",17,24,42,1860171,"No"
"M",19,9,40,851270,"No"
"M",38,12,6,1066457,"No"
"M",39,3,23,1594634,"No"
"M",34,20,14,1512711,"No"
"F",29,2,10,170274,"No"
"F",21,19,46,702955,"No"
"M",15,5,23,1154859,"No"
"F",38,12,38,219425,"No"
"F",11,4,14,151288,"No"
"M",22,23,47,572765,"No"
"F",35,14,50,1346856,"No"
"M",39,18,38,998291,"No"
"F",38,6,10,1250089,"No"
"F",39,3,39,255174,"No"
"M",36,20,16,998222,"No"
"M",12,8,46,345796,"No"
"M",39,15,20,1489649,"No"
"F",31,10,31,313408,"No"
"F",31,19,25,1595629,"No"
"M",19,6,35,620805,"No"
"M",33,9,43,1698823,"No"
"M",14,6,32,535351,"No"
"M",27,16,36,437100,"No"
"F",23,12,6,1228780,"No"
"M",24,9,41,291369,"No"
"M",13,11,12,741756,"No"
"M",38,19,20,960493,"No"
"M",13,4,43,1756795,"No"
"M",21,24,15,679610,"No"
"M",35,9,33,1105150,"No"
"F",35,17,41,906025,"No"
"M",26,10,46,892814,"No"
"F",27,2,5,1114862,"No"
"M",18,11,12,300687,"No"
"F",14,14,7,956881,"No"
"M",39,8,16,1762971,"No"
"M",30,10,18,583613,"No"
"M",21,16,12,1419057,"No"
"F",34,10,9,549783,"No"
"M",20,14,7,1963423,"No"
"M",27,15,35,1086524,"No"
"M",35,4,50,468823,"No"
"M",29,6,41,223309,"No"
"F",27,1,22,220002,"No"
"M",36,24,40,1271641,"No"
"M",35,24,25,519701,"No"
"M",32,1,14,1744382,"No"
"M",23,13,25,181566,"No"
"F",38,1,17,370218,"No"
"M",12,23,44,562679,"No"
"M",37,5,24,1937042,"No"
"F",19,6,22,1166662,"No"
"F",27,1,6,1289589,"No"
"M",10,15,8,452636,"No"
"M",21,6,43,1355703,"No"
"F",37,15,32,536858,"No"
"M",30,6,39,1585933,"No"
"M",17,15,19,84609,"No"
"M",20,19,30,1836259,"No"
"M",15,13,28,1520435,"No"
"M",26,17,27,983295,"No"
"F",31,20,34,729809,"No"
"F",22,3,12,1355112,"No"
"F",30,11,18,964840,"No"
"M",14,23,14,505686,"No"
"F",31,19,24,1375330,"No"
"M",33,6,19,1287596,"No"
"F",38,20,7,183154,"No"
"M",18,7,39,159960,"No"
"M",25,10,48,355201,"No"
"M",18,17,10,1798005,"No"
"M",21,12,41,1675306,"No"
"M",25,12,42,1838166,"No"
"F",29,11,40,1054916,"No"
"M",19,23,49,1340957,"No"
"M",21,3,13,1021619,"No"
"F",30,19,44,1420434,"No"
"M",27,12,40,1690113,"No"
"M",39,11,28,1018009,"No"
"M",40,6,9,1954405,"No"
"M",39,17,47,1174477,"No"
"M",21,15,25,469356,"No"
"M",12,8,24,228464,"No"
"M",15,23,15,496434,"No"
"M",29,15,28,1974324,"No"
"M",39,1,38,1106622,"No"
"F",38,5,40,1032047,"No"
"F",23,21,10,1921098,"No"
"M",36,16,6,1646535,"No"
"M",38,19,22,1996194,"No"
"M",13,23,23,599195,"No"
"M",30,16,37,339738,"No"
"M",30,14,31,367792,"No"
"M",38,19,12,959844,"No"
"M",34,18,33,897118,"No"
"M",20,17,31,513844,"No"
"M",21,5,30,1408243,"No"
"F",27,21,29,587381,"No"
"M",29,4,8,967011,"No"
"M",18,3,6,1188484,"No"
"M",12,10,23,746583,"No"
"M",22,9,31,1145932,"No"
"M",18,9,34,471860,"No"
"M",33,23,34,1246980,"No"
"F",14,24,12,1807699,"No"
"M",33,23,24,659407,"No"
"F",39,8,5,182250,"No"
"M",14,2,29,920965,"No"
"F",16,13,46,414467,"No"
"F",10,5,46,370013,"No"
"F",38,18,19,806051,"No"
"M",15,11,22,312691,"No"
"M",20,4,29,170300,"No"
"F",25,20,22,1239457,"No"
"M",21,17,25,815753,"No"
"M",34,22,12,76912,"No"
"F",13,11,8,169574,"No"
"M",23,16,42,1927226,"No"
"M",21,1,13,1385256,"No"
"M",11,24,33,1761450,"No"
"M",11,19,41,1890884,"No"
"M",24,9,46,1515774,"No"
"M",10,19,10,1918210,"No"
"F",10,15,9,318781,"No"
"F",17,23,14,1855584,"No"
"F",30,17,21,1054551,"No"
"F",28,2,10,661536,"No"
"M",21,4,20,1287781,"No"
"M",13,23,36,1892688,"No"
"M",10,11,36,1245808,"No"
"M",28,8,30,486484,"No"
"F",18,17,27,840628,"No"
"M",12,7,9,630976,"No"
"M",17,22,17,1240829,"No"
"M",33,1,22,940870,"No"
"M",27,16,26,1661374,"No"
"F",27,13,31,378174,"No"
"M",31,6,33,1904370,"No"
"M",31,12,47,1489914,"No"
"M",29,9,34,1687664,"No"
"M",37,11,42,249431,"No"
"M",23,6,5,271490,"No"
"F",17,14,46,795939,"No"
"F",16,10,27,53817,"No"
"F",17,12,20,281640,"No"
"M",24,9,14,740317,"No"
"M",29,9,18,406448,"No"
"F",27,8,13,503783,"No"
"M",17,17,8,1411211,"No"
"M",32,23,23,1822281,"No"
"F",18,6,31,1431256,"No"
"M",33,3,50,1939030,"No"
"F",11,4,28,1721937,"No"
"F",25,4,47,1898812,"No"
"F",11,4,39,558145,"No"
"F",32,11,29,1498069,"No"
"M",26,14,43,556767,"No"
"F",28,8,10,958591,"No"
"M",39,16,5,1654945,"No"
"M",37,6,24,918191,"No"
"F",23,24,32,881630,"No"
"F",23,20,43,712330,"No"
"F",15,2,42,1742213,"No"
"M",13,5,9,1071934,"No"
"M",27,13,41,364858,"No"
"M",14,16,49,1497449,"No"
"F",19,15,29,262128,"No"
"M",15,7,5,1459755,"No"
"M",14,13,46,1409071,"No"
"M",24,2,24,401396,"No"
"M",18,18,11,179450,"No"
"M",24,23,5,1534284,"No"
"M",21,24,9,257430,"No"
"M",18,23,24,774118,"No"
"F",19,20,41,622487,"No"
"M",37,11,33,412658,"No"
"F",13,20,48,1883841,"No"
"M",23,11,11,1965614,"No"
"M",37,1,17,1024831,"No"
"F",25,18,34,1599195,"No"
"F",16,8,20,1561992,"No"
"M",28,12,26,1417482,"No"
"M",10,5,28,526780,"No"
"M",17,11,47,1834956,"No"
"M",18,19,47,1938883,"No"
"M",22,16,8,1517859,"No"
"F",35,7,36,988019,"No"
"M",12,21,24,1022706,"No"
"M",16,5,23,1484439,"No"
"F",24,4,13,1972997,"No"
"F",37,22,11,445007,"No"
"M",11,6,41,71372,"No"
"M",32,8,48,548384,"No"
"F",21,10,39,1722918,"No"
"M",36,10,7,1240141,"No"
"M",18,24,15,519464,"No"
"M",17,6,24,404701,"No"
"M",35,19,6,170806,"No"
"M",34,12,17,126431,"No"
"M",24,14,16,53908,"No"
"M",23,5,40,202393,"No"
"F",33,4,31,495821,"No"
"F",20,16,7,304733,"No"
"M",40,18,26,178972,"No"
"M",21,23,7,89792,"No"
"M",22,8,33,1715513,"No"
"M",30,8,28,1405924,"No"
"M",39,19,18,236965,"No"
"M",26,24,34,1084616,"No"
"M",16,19,28,1384987,"No"
"M",35,12,32,1837182,"No"
"M",29,7,26,1223082,"No"
"M",25,22,19,667801,"No"
"M",10,20,47,315653,"No"
"M",14,21,29,1173022,"No"
"F",34,6,41,1252849,"No"
"M",23,11,39,471805,"No"
"M",31,23,35,1395380,"No"
"F",19,18,42,1152161,"No"
"M",26,23,6,1146473,"No"
"M",30,23,17,1160158,"No"
"M",26,9,7,955787,"No"
"M",15,23,44,1410577,"No"
"M",14,19,13,571391,"No"
"F",26,1,39,1771435,"No"
"M",29,5,27,662384,"No"
"M",11,7,39,565161,"No"
"F",27,22,35,758402,"No"
"M",13,2,31,633688,"No"
"M",15,1,41,555775,"No"
"M",27,2,21,1613143,"No"
"M",30,1,40,1595775,"No"
"M",20,1,32,429915,"No"
"M",16,8,13,1637267,"No"
"F",38,7,35,1844994,"No"
"M",26,3,47,1736667,"No"
"F",12,12,9,1891901,"No"
"M",36,21,9,51953,"No"
"M",19,7,22,1378811,"No"
"M",20,14,43,858871,"No"
"M",20,16,47,1783717,"No"
"F",24,17,50,541475,"No"
"M",11,10,47,544922,"No"
"M",19,11,9,574645,"No"
"M",34,4,47,1447993,"No"
"M",39,20,18,1259900,"No"
"M",36,3,33,913260,"No"
"F",37,7,19,901570,"No"
"F",16,19,33,1123485,"No"
"M",12,15,35,1436650,"No"
"M",29,15,12,806347,"No"
"M",21,18,31,1346363,"No"
"F",36,15,11,1078412,"No"
"M",24,20,45,1188369,"No"
"M",36,5,37,606905,"No"
"M",30,6,24,992249,"No"
"M",33,14,37,553840,"No"
"M",31,11,46,105215,"No"
"M",23,10,43,80543,"No"
"F",10,10,29,1142349,"No"
"F",16,19,50,641400,"No"
"M",25,5,5,1356371,"No"
"F",15,21,22,910839,"No"
"M",25,11,33,344759,"No"
"M",26,16,29,1374070,"No"
"M",39,15,28,556595,"No"
"M",16,23,43,786721,"No"
"M",22,22,30,1809935,"No"
"M",12,11,47,642555,"No"
"M",12,7,21,304514,"No"
"F",24,2,37,759157,"No"
"M",21,19,20,668207,"No"
"M",40,16,11,875379,"No"
"F",32,18,45,218563,"No"
"M",10,2,10,1777589,"No"
"M",22,18,28,547938,"No"
"M",38,13,38,534684,"No"
"M",22,13,19,1175592,"No"
"M",13,11,10,392694,"No"
"M",13,13,19,857969,"No"
"M",31,14,34,922106,"No"
"M",19,21,45,199164,"No"
"M",22,3,47,1686306,"No"
"M",29,18,27,171676,"No"
"M",36,13,33,1742615,"No"
"M",39,10,26,1626722,"No"
"M",18,16,48,260715,"No"
"F",32,20,5,1658868,"No"
"M",13,19,11,1650846,"No"
"M",31,14,30,1275492,"No"
"M",22,19,8,1874808,"No"
"M",40,23,33,423669,"No"
"F",38,8,46,957680,"No"
"M",13,15,22,1310205,"No"
"F",21,20,34,215303,"No"
"F",40,15,19,131890,"No"
"M",36,2,33,1861888,"No"
"M",18,12,44,775707,"No"
"F",15,20,39,1583542,"No"
"F",21,24,24,1064610,"No"
"M",22,14,14,810570,"No"
"M",40,24,47,815842,"No"
"M",40,3,25,943018,"No"
"M",19,20,23,115760,"No"
"F",35,1,40,1462619,"No"
"F",34,14,42,1207534,"No"
"F",33,21,43,925136,"No"
"M",30,11,22,789916,"No"
"F",39,21,23,1758487,"No"
"M",28,3,14,689890,"No"
"M",29,8,27,1547561,"No"
"F",12,13,50,1836206,"No"
"F",19,8,50,1926212,"No"
"M",23,4,46,1984364,"No"
"M",12,9,6,261263,"No"
"M",23,11,47,500083,"No"
"F",18,5,37,1348376,"No"
"M",35,3,43,1945805,"No"
"M",28,14,24,1153284,"No"
"M",34,13,20,582197,"No"
"F",39,6,50,1008210,"No"
"M",36,9,24,451708,"No"
"M",21,23,28,1189362,"No"
"M",39,20,14,441484,"No"
"M",26,23,20,418883,"No"
"M",18,16,8,416002,"No"
"F",33,24,22,1722787,"No"
"F",39,11,41,1039501,"No"
"M",30,12,42,255190,"No"
"M",39,24,45,1091326,"No"
"M",18,11,50,1548030,"No"
"F",12,16,45,1896343,"No"
"M",23,23,45,599568,"No"
"F",20,11,33,565708,"No"
"F",15,8,30,1686764,"No"
"F",29,15,29,997612,"No"
"F",30,20,49,595513,"No"
"M",27,10,26,407742,"No"
"M",39,14,24,1448701,"No"
"M",20,1,47,1571224,"No"
"M",29,4,37,1239995,"No"
"M",32,18,36,795150,"No"
"M",28,3,20,989913,"No"
"M",25,2,46,1922980,"No"
"M",18,4,27,417355,"No"
"M",38,14,21,856041,"No"
"M",13,3,44,1674331,"No"
"M",18,23,50,1158401,"No"
"M",13,22,50,64392,"No"
"M",33,23,44,1174016,"No"
"F",10,1,12,609407,"No"
"M",32,17,5,547983,"No"
"M",38,8,8,148625,"No"
"F",20,12,33,1680144,"No"
"M",27,4,22,1875162,"No"
"M",11,10,8,655731,"No"
"F",20,22,13,1290303,"No"
"F",18,21,16,1064250,"No"
"M",37,1,42,1557624,"No"
"M",17,5,31,1967272,"No"
"F",10,24,25,825106,"No"
"M",39,1,5,1527424,"No"
"M",36,2,7,251534,"No"
"F",28,8,12,1677089,"No"
"M",13,5,50,1374495,"No"
"F",18,16,48,1049890,"No"
"F",13,18,39,363525,"No"
"M",40,24,9,418981,"No"
"F",23,12,8,964008,"No"
"M",31,14,19,1878813,"No"
"M",23,5,38,1821064,"No"
"M",13,12,14,115678,"No"
"M",32,13,10,941871,"No"
"M",17,11,16,1367072,"No"
"M",13,12,26,413693,"No"
"M",34,21,30,1866637,"No"
"F",40,6,28,947675,"No"
"F",20,6,30,364198,"No"
"F",28,7,49,124672,"No"
"M",28,15,20,1745099,"No"
"F",32,22,5,440657,"No"
"M",20,14,32,1710443,"No"
"M",10,13,44,1174218,"No"
"F",35,5,29,127359,"No"
"M",30,7,22,378611,"No"
"M",15,21,38,351946,"No"
"F",11,24,29,447696,"No"
"M",31,8,45,95405,"No"
"F",33,24,44,1755205,"No"
"F",37,9,14,1426850,"No"
"M",39,2,39,103406,"No"
"M",30,13,30,1054727,"No"
"F",39,2,29,196330,"No"
"M",20,19,17,1433701,"No"
"M",13,4,10,1780548,"No"
"F",19,3,22,692251,"No"
"M",26,20,12,407400,"No"
"M",16,21,21,1001971,"No"
"M",13,2,18,244206,"No"
"F",29,22,49,1098415,"No"
"M",11,17,37,1326460,"No"
"F",29,1,28,635427,"No"
"M",35,5,9,1797396,"No"
"F",15,8,40,895197,"No"
"F",13,9,29,1898918,"No"
"M",27,20,13,1444505,"No"
"M",37,20,38,1356325,"No"
"F",39,19,7,1412482,"No"
"M",18,16,48,378433,"No"
"F",21,15,49,480776,"No"
"M",33,7,39,315618,"No"
"F",22,13,12,1443303,"No"
"F",17,18,26,1255310,"No"
"F",21,3,41,1039961,"No"
"M",31,4,10,130785,"No"
"M",18,20,22,1036725,"No"
"F",23,3,35,1360568,"No"
"M",30,21,14,1982617,"No"
"M",20,16,14,318422,"No"
"F",29,7,36,1732029,"No"
"M",37,13,42,619838,"No"
"F",30,10,21,1697996,"No"
"F",36,13,15,991633,"No"
"M",31,12,14,1969889,"No"
"M",23,1,19,1780179,"No"
"M",24,24,42,645814,"No"
"M",12,20,48,1757040,"No"
"M",36,12,12,1411739,"No"
"M",24,21,8,78254,"No"
"M",33,14,47,985518,"No"
"M",22,15,16,1877550,"No"
"M",25,19,48,1904231,"No"
"F",36,24,22,1748752,"No"
"M",11,1,42,683756,"No"
"F",25,17,49,1344445,"No"
"M",23,24,10,114937,"No"
"M",14,22,13,1198716,"No"
"M",24,14,35,64362,"No"
"F",26,10,22,1215317,"No"
"M",11,10,19,230905,"No"
"F",18,24,15,62922,"No"
"M",38,2,15,351503,"No"
"M",20,14,43,1467821,"No"
"M",40,8,42,173605,"No"
"M",16,20,44,230902,"No"
"M",22,18,32,295982,"No"
"M",15,1,37,614370,"No"
"M",14,14,13,1323283,"No"
"F",10,7,49,680671,"No"
"M",24,14,32,165706,"No"
"F",29,23,47,1219312,"No"
"M",15,11,30,1639118,"No"
"M",17,24,36,986458,"No"
"F",35,16,43,934902,"No"
"F",21,22,15,206732,"No"
"M",40,1,12,1026288,"No"
"M",34,21,49,1807228,"No"
"M",29,15,44,1291202,"No"
"F",27,1,23,322457,"No"
"M",22,14,33,1212394,"No"
"F",33,1,48,474554,"No"
"M",25,11,6,1619786,"No"
"M",20,10,19,1714465,"No"
"M",10,24,32,64577,"No"
"M",11,12,10,125327,"No"
"M",12,16,49,1932073,"No"
"F",20,19,8,1220415,"No"
"M",11,8,19,501128,"No"
"M",40,18,48,1065105,"No"
"F",13,20,43,191159,"No"
"M",33,8,49,675500,"No"
"F",19,18,43,1225370,"No"
"M",24,18,19,1331269,"No"
"M",18,5,40,321433,"No"
"F",15,10,40,1992289,"No"
"M",18,17,12,211162,"No"
"F",22,13,47,512983,"No"
"M",19,24,40,1477140,"No"
"M",18,24,40,1476106,"No"
"M",15,22,18,922201,"No"
"F",13,9,48,327310,"No"
"F",24,12,33,1393402,"No"
"M",22,15,49,1937512,"No"
"F",24,11,47,129244,"No"
"M",28,10,19,1999310,"No"
"M",28,13,6,975803,"No"
"M",27,12,18,849015,"No"
"M",12,1,42,791818,"No"
"M",19,1,48,450250,"No"
"F",20,3,11,661098,"No"
"M",13,17,22,891007,"No"
"M",31,23,14,81205,"No"
"M",13,3,5,1408691,"No"
"F",39,22,31,307878,"No"
"F",10,3,30,1077458,"No"
"M",21,21,31,1527923,"No"
"M",31,18,26,1096144,"No"
"F",17,9,48,204944,"No"
"M",17,19,28,290328,"No"
"M",22,1,37,853742,"No"
"M",18,10,5,1801460,"No"
"M",23,1,21,1178549,"No"
"M",22,23,46,643225,"No"
"M",16,14,21,243990,"No"
"F",24,2,34,1267146,"No"
"M",32,3,24,995485,"No"
"M",15,23,48,240079,"No"
"M",18,2,27,1916613,"No"
"M",13,7,14,509015,"No"
"M",32,11,33,1338173,"No"
"M",28,4,31,1074070,"No"
"M",17,24,23,1272072,"No"
"M",21,16,46,1428960,"No"
"F",37,2,10,1956564,"No"
"F",35,6,7,515085,"No"
"M",36,9,8,396036,"No"
"M",38,7,45,1823693,"No"
"F",26,19,6,163660,"No"
"M",37,23,19,1061715,"No"
"M",22,2,25,175040,"No"
"M",29,13,6,1249105,"No"
